,link,pays
0,https://www.historique-meteo.net/afrique/afrique-du-sud/,L'Afrique du Sud
1,https://www.historique-meteo.net/afrique/algerie/,L'Algérie
2,https://www.historique-meteo.net/afrique/angola/,L'Angola
3,https://www.historique-meteo.net/afrique/benin/,Le Bénin
4,https://www.historique-meteo.net/afrique/botswana/,Le Botswana
5,https://www.historique-meteo.net/afrique/burkina-faso/,Le Burkina Faso
6,https://www.historique-meteo.net/afrique/burundi/,Le Burundi
7,https://www.historique-meteo.net/afrique/cameroun/,Le Cameroun
8,https://www.historique-meteo.net/afrique/cap-vert/,Le Cap-Vert
9,https://www.historique-meteo.net/afrique/comores/,Les Comores
10,https://www.historique-meteo.net/afrique/congo/,Le Congo-Brazzaville (République du Congo)
11,https://www.historique-meteo.net/afrique/cote-d-ivoire/,La Côte d'Ivoire
12,https://www.historique-meteo.net/afrique/djerba/,Djerba
13,https://www.historique-meteo.net/afrique/djibouti/,Le Djibouti
14,https://www.historique-meteo.net/afrique/ethiopie/,Éthiopie
15,https://www.historique-meteo.net/afrique/gabon/,Le Gabon
16,https://www.historique-meteo.net/afrique/gambie/,La Gambie
17,https://www.historique-meteo.net/afrique/ghana/,Le Ghana
18,https://www.historique-meteo.net/afrique/guinee/,La Guinée
19,https://www.historique-meteo.net/afrique/ile-maurice/,L'île Maurice
20,https://www.historique-meteo.net/afrique/kenya/,Le Kenya
21,https://www.historique-meteo.net/afrique/lesotho/,Le Lesotho
22,https://www.historique-meteo.net/afrique/libye/,La Libye
23,https://www.historique-meteo.net/afrique/madagascar/,Madagascar
24,https://www.historique-meteo.net/afrique/malawi/,Le Malawi
25,https://www.historique-meteo.net/afrique/mali/,Le Mali
26,https://www.historique-meteo.net/afrique/maroc/,Le Maroc
27,https://www.historique-meteo.net/afrique/mauritanie/,La Mauritanie
28,https://www.historique-meteo.net/afrique/mayotte/,Mayotte
29,https://www.historique-meteo.net/afrique/mozambique/,Le Mozambique
30,https://www.historique-meteo.net/afrique/namibie/,La Namibie
31,https://www.historique-meteo.net/afrique/niger/,Le Niger
32,https://www.historique-meteo.net/afrique/ouganda/,L'Ouganda
33,https://www.historique-meteo.net/afrique/la-reunion/,La Réunion
34,https://www.historique-meteo.net/afrique/iles-rodrigues/,Rodrigues
35,https://www.historique-meteo.net/afrique/rwanda/,Le Rwanda
36,https://www.historique-meteo.net/afrique/sao-tome-et-principe/,Sao Tomé-et-Principe
37,https://www.historique-meteo.net/afrique/senegal/,Le Sénégal
38,https://www.historique-meteo.net/afrique/seychelles/,Les Seychelles
39,https://www.historique-meteo.net/afrique/sierra-leone/,La Sierra Leone
40,https://www.historique-meteo.net/afrique/swaziland/,Le Swaziland (Eswatini)
41,https://www.historique-meteo.net/afrique/tanzanie/,La Tanzanie
42,https://www.historique-meteo.net/afrique/togo/,Le Togo
43,https://www.historique-meteo.net/afrique/tunisie/,La Tunisie
44,https://www.historique-meteo.net/afrique/zambie/,La Zambie
45,https://www.historique-meteo.net/afrique/zanzibar/,Zanzibar
46,https://www.historique-meteo.net/afrique/zimbabwe/,Le Zimbabwe
